2026-03-01 09:55:49.280 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-03-01 09:55:49.316 [main] INFO  com.sau.BlogSystemApplication - Starting BlogSystemApplication using Java 17.0.13 with PID 6196 (D:\Java\blog-project\blog-system\target\classes started by 77639 in D:\Java\blog-project)
2026-03-01 09:55:49.316 [main] INFO  com.sau.BlogSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-01 09:55:49.941 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-01 09:55:49.945 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-01 09:55:49.970 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2026-03-01 09:55:50.595 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-01 09:55:50.606 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-01 09:55:50.607 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-03-01 09:55:50.608 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2026-03-01 09:55:50.670 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-03-01 09:55:50.671 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1323 ms
2026-03-01 09:55:51.906 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-01 09:55:51.923 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-01 09:55:51.933 [main] INFO  com.sau.BlogSystemApplication - Started BlogSystemApplication in 2.907 seconds (process running for 3.546)
2026-03-01 09:56:03.116 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-01 09:56:03.116 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-01 09:56:03.118 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-01 09:56:03.141 [http-nio-8080-exec-6] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles
2026-03-01 09:56:03.141 [http-nio-8080-exec-2] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/categories
2026-03-01 09:56:03.141 [http-nio-8080-exec-4] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostLike
2026-03-01 09:56:03.141 [http-nio-8080-exec-7] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostStar
2026-03-01 09:56:03.141 [http-nio-8080-exec-1] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/hot
2026-03-01 09:56:03.141 [http-nio-8080-exec-5] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/tags
2026-03-01 09:56:03.788 [http-nio-8080-exec-3] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostShare
2026-03-01 09:56:43.463 [http-nio-8080-exec-8] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostStar
2026-03-01 09:56:43.511 [http-nio-8080-exec-9] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostShare
2026-03-01 09:56:45.869 [http-nio-8080-exec-10] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles
2026-03-01 09:56:45.878 [http-nio-8080-exec-5] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostLike
2026-03-01 09:56:45.878 [http-nio-8080-exec-7] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/tags
2026-03-01 09:56:45.878 [http-nio-8080-exec-4] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostStar
2026-03-01 09:56:45.878 [http-nio-8080-exec-1] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/hot
2026-03-01 09:56:45.878 [http-nio-8080-exec-2] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/categories
2026-03-01 09:56:45.892 [http-nio-8080-exec-6] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostShare
2026-03-01 09:56:47.486 [http-nio-8080-exec-3] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles
2026-03-01 09:56:47.486 [http-nio-8080-exec-8] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/hot
2026-03-01 09:56:47.486 [http-nio-8080-exec-9] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/tags
2026-03-01 09:56:47.486 [http-nio-8080-exec-10] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/categories
2026-03-01 09:56:47.486 [http-nio-8080-exec-5] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostStar
2026-03-01 09:56:47.486 [http-nio-8080-exec-7] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostLike
2026-03-01 09:56:47.498 [http-nio-8080-exec-2] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostShare
2026-03-01 09:56:50.496 [http-nio-8080-exec-1] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles
2026-03-01 09:56:50.497 [http-nio-8080-exec-8] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/tags
2026-03-01 09:56:50.497 [http-nio-8080-exec-4] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostLike
2026-03-01 09:56:50.497 [http-nio-8080-exec-6] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/hot
2026-03-01 09:56:50.497 [http-nio-8080-exec-3] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/categories
2026-03-01 09:56:50.497 [http-nio-8080-exec-9] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostStar
2026-03-01 09:56:50.508 [http-nio-8080-exec-5] INFO  com.sau.filter.JwtTokenFilter - 请求路径：/articles/mostShare
